Author;AuthorULAN;AuthorULANLabel;AuthorNationality;BiographyLabel;AuthorBirth;AuthorDeath;AuthorBirthLong;AuthorBirthLat;AuthorDeathLong;AuthorDeathLat;AuthorBirthCity;AuthorDeathCity;CountModifiers;CountModifiers_Contact;CountModifiers_Neighbours;CountWorks;CountWorks_Modified;CountWorks_Contact;CountWorks_Neighbours;PercWorks_Modified;PercWorks_Contact;PercWorks_Neighbours
GRASSI Nicola;ulan:500019246;Grassi, Nicola;Italian (culture or style);Italian painter, 1682-ca. 1750;1682.0;1760.0;;;;;;;3.0;1.0;2.0;219.0;9.0;4.0;5.0;0.0410958904109589;0.0182648401826484;0.0228310502283105
GUARDI Giacomo;ulan:500023608;Guardi, Giacomo;Italian (culture or style);Italian painter, 1764-1835;1764.0;1835.0;;;;;;;6.0;3.0;3.0;231.0;28.0;10.0;18.0;0.12121212121212122;0.04329004329004329;0.07792207792207792
CARAVAGGIO;ulan:500115312;Caravaggio, Michelangelo Merisi da;Italian (culture or style);Italian painter, 1571-1610;1571.0;1610.0;9.633333;45.5;11.2;42.383333;Caravaggio;Grosseto;15.0;4.0;11.0;265.0;57.0;5.0;52.0;0.21509433962264152;0.018867924528301886;0.19622641509433963
PADOVANINO (il);ulan:500025136;Padovanino;Italian (culture or style);Italian painter, 1588-1649;1588.0;1649.0;11.883333;45.416667;12.326667;45.438611;Padua;Venice;13.0;8.0;5.0;219.0;21.0;14.0;7.0;0.0958904109589041;0.0639269406392694;0.0319634703196347
NARDO di CIONE;ulan:500022998;di Cione, Nardo;Italian (culture or style);Italian painter, born ca. 1320, died 1365 or 1366;1310.0;1366.0;11.25;43.766667;11.25;43.766667;Florence;Florence;4.0;3.0;1.0;214.0;9.0;7.0;2.0;0.04205607476635514;0.03271028037383177;0.009345794392523364
PELLEGRINI Giovanni Antonio;ulan:500031760;Pellegrini, Giovanni Antonio;Italian (culture or style);Italian painter, 1675-1741;1675.0;1741.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;3.0;3.0;0.0;211.0;4.0;4.0;0.0;0.018957345971563982;0.018957345971563982;0.0
TESI Mauro;ulan:500031823;Tesi, Mauro Antonio;Italian (culture or style);Italian painter and printmaker, 1730-1766;1730.0;1766.0;;;11.351;44.507;;Bologna;2.0;2.0;0.0;211.0;67.0;67.0;0.0;0.3175355450236967;0.3175355450236967;0.0
PISANO Giovanni;ulan:500017740;Pisano, Giovanni;Italian (culture or style);Italian architect and sculptor, born ca. 1240, died before 1320;1240.0;1320.0;10.383333;43.716667;11.33;43.318000000000005;Pisa;Siena;4.0;1.0;3.0;218.0;23.0;12.0;11.0;0.10550458715596331;0.05504587155963303;0.05045871559633028
PORDENONE;ulan:500008696;Pordenone;Italian (culture or style);Italian draftsman and painter,1483/1484-1539;1483.0;1539.0;12.6575;45.963889;11.583333;44.833333;Pordenone;Ferrara;14.0;6.0;8.0;222.0;37.0;24.0;13.0;0.16666666666666666;0.10810810810810811;0.05855855855855856
GENTILE da FABRIANO;ulan:500017803;Gentile da Fabriano;Italian (culture or style);Italian painter, ca. 1370-1427;1365.0;1427.0;12.9;43.333333;12.483333;41.9;Fabriano;Rome;5.0;1.0;4.0;238.0;34.0;4.0;30.0;0.14285714285714285;0.01680672268907563;0.12605042016806722
BISSON Giuseppe Bernardino;ulan:500002607;Bison, Giuseppe Bernardino;Italian (culture or style);Italian painter and scenographer, 1762-1844;1762.0;1844.0;13.311944;45.906389;9.2;45.466667;Palmanova;Milan;3.0;3.0;0.0;208.0;11.0;11.0;0.0;0.052884615384615384;0.052884615384615384;0.0
FERRI Ciro;ulan:500003018;Ferri, Ciro;Italian (culture or style);Italian painter, architect, and sculptor, 1634-1689;1634.0;1689.0;;;;;;;2.0;2.0;0.0;207.0;13.0;13.0;0.0;0.06280193236714976;0.06280193236714976;0.0
LIGOZZI Jacopo;ulan:500011933;Ligozzi, Jacopo;Italian (culture or style);Italian painter, draftsman and designer, 1547-1627;1547.0;1627.0;11.0;45.45;11.25;43.766667;Verona;Florence;1.0;1.0;0.0;207.0;2.0;2.0;0.0;0.00966183574879227;0.00966183574879227;0.0
GUARANA Jacopo;ulan:500002672;Guarana, Jacopo;Italian (culture or style);Italian painter, 1720-1808;1720.0;1808.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;5.0;2.0;3.0;216.0;24.0;14.0;10.0;0.1111111111111111;0.06481481481481481;0.046296296296296294
STRADANUS Jan;ulan:500011304;Stradanus;Flemish (culture or style);Flemish painter and draftsman, 1523-1605, active in Italy;1523.0;1605.0;3.225971;51.210933;11.25;43.766667;Bruges;Florence;2.0;2.0;0.0;206.0;7.0;7.0;0.0;0.03398058252427184;0.03398058252427184;0.0
SANO di PIETRO;ulan:500115558;Sano di Pietro;Italian (culture or style);Sienese painter and miniaturist, 1405-1481;1405.0;1481.0;11.33;43.318000000000005;11.33;43.318000000000005;Siena;Siena;5.0;3.0;2.0;205.0;8.0;4.0;4.0;0.03902439024390244;0.01951219512195122;0.01951219512195122
