Author;AuthorULAN;AuthorULANLabel;AuthorNationality;BiographyLabel;AuthorBirth;AuthorDeath;AuthorBirthLong;AuthorBirthLat;AuthorDeathLong;AuthorDeathLat;AuthorBirthCity;AuthorDeathCity;CountModifiers;CountModifiers_Contact;CountModifiers_Neighbours;CountWorks;CountWorks_Modified;CountWorks_Contact;CountWorks_Neighbours;PercWorks_Modified;PercWorks_Contact;PercWorks_Neighbours
LEONARDO DA BESOZZO;ulan:500020018;Leonardo de' Molinari da Besozzo;Italian (culture or style);Italian painter and illuminator, active 15th century;1400.0;1500.0;;;;;;;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0
BELLINIANO Vittore;ulan:500008895;Belliniano, Vittore;Italian (culture or style);Italian painter, active 1507, died 1529;1470.0;1529.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
SCARAMUCCIA Luigi;ulan:500018425;Scaramuccia, Luigi Pellegrino;Italian (culture or style);Italian painter, printmaker, and art historian, 1616-1680;1616.0;1680.0;12.366667;43.133333;9.2;45.466667;Perugia;Milan;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
DE ZAYAS Marius;ulan:500031425;Zayas, Marius de;Mexican;Mexican caricaturist and critic, 1880-1961;1880.0;1961.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
SERMONETA (il);ulan:500027383;Siciolante, Girolamo;Italian (culture or style);Italian painter, ca. 1521-1575;1515.0;1575.0;12.983333;41.55;12.483333;41.9;Latina;Rome;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
SAVIN Paolo;ulan:500020717;Savin, Paolo di Matteo;Italian (culture or style);Italian sculptor, flourished 1506-1519 in Venice;1460.0;1560.0;;;;;;;1.0;1.0;0.0;17.0;2.0;2.0;0.0;0.11764705882352941;0.11764705882352941;0.0
DOWNMAN John;ulan:500023543;Downman, John;British (modern);English painter, 1750-1824;1750.0;1824.0;-3.0333330000000003;52.983333;-3.0;53.05;Wrexham;Wrexham;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
BERLINGHIERI Berlinghiero;ulan:500014124;Berlinghiero;Italian (culture or style);Italian painter, active early 13th century;1180.0;1236.0;;;;;;;3.0;1.0;2.0;19.0;4.0;2.0;2.0;0.21052631578947367;0.10526315789473684;0.10526315789473684
GALLIARI Fabrizio;ulan:500025026;Galliari, Fabrizio G.;Italian (culture or style);Italian scenographer and architect, 1709-1790;1709.0;1790.0;8.05;45.616667;9.583333;45.516667;Biella;Treviglio;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
GERARD Francois;ulan:500115453;Gérard, François, Baron;French (culture or style);French painter, 1770-1837;1770.0;1837.0;12.483333;41.9;2.333333;48.866667;Rome;Paris;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
PIETRO DI DOMENICO;ulan:500030259;Pietro di Domenico;Italian (culture or style);Italian painter, probably born 1457, probably died 1533;1452.0;1533.0;11.33;43.318000000000005;11.33;43.318000000000005;Siena;Siena;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
COZENS John Robert;ulan:500000438;Cozens, John Robert;British (modern);English painter, draftsman, and watercolorist, 1752-1797;1752.0;1797.0;-0.093145;51.514248;-0.093145;51.514248;City of London;City of London;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
VOLPATO Giovanni Battista;ulan:500024591;Volpato, Giovanni Battista;Italian (culture or style);Italian painter, mathematician, and philosopher, 1633-1706;1633.0;1706.0;11.733333;45.766667;11.733333;45.766667;Bassano del Grappa;Bassano del Grappa;2.0;2.0;0.0;17.0;5.0;5.0;0.0;0.29411764705882354;0.29411764705882354;0.0
VAILLANT Wallerant;ulan:500025331;Vaillant, Wallerant;Dutch (culture or style);Dutch painter, printmaker, and draftsman, 1623-1677;1623.0;1677.0;3.058585;50.632971000000005;4.916667;52.35;Lille;Amsterdam;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
BOLDINI Giovanni;ulan:500024511;Boldini, Giovanni;Italian (culture or style);Italian painter and printmaker, 1842-1931;1842.0;1931.0;11.583333;44.833333;2.333333;48.866667;Ferrara;Paris;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
CARPACCIO Benedetto;ulan:500026878;Carpaccio, Benedetto;Italian (culture or style);Italian painter, ca. 1500-1572;1490.0;1572.0;;;;;;;3.0;2.0;1.0;18.0;4.0;3.0;1.0;0.2222222222222222;0.16666666666666666;0.05555555555555555
PORTIGIANI Domenico;ulan:500013157;Portigiani, Domenico;Italian (culture or style);Italian bronze founder, architect, 1536-1601;1536.0;1601.0;;;;;;;1.0;1.0;0.0;17.0;8.0;8.0;0.0;0.47058823529411764;0.47058823529411764;0.0
SEGONZAC André Dunoyer de-;ulan:500024152;Dunoyer de Segonzac, André;French (culture or style);French painter, draftsman, and printmaker, 1884-1974;1884.0;1974.0;2.5306040000000003;48.691014;2.333333;48.866667;Essonne;Paris;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
RONCALLI Cristofano;ulan:500021303;Roncalli, Cristoforo;Italian (culture or style);Italian painter, ca. 1553-1626;1545.0;1626.0;10.873;43.299;12.483333;41.9;Pisa;Rome;1.0;1.0;0.0;17.0;2.0;2.0;0.0;0.11764705882352941;0.11764705882352941;0.0
PILON Germain;ulan:500029903;Pilon, Germain;French (culture or style);French sculptor and medalist, ca. 1525-1590;1520.0;1590.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
LORENZETTI Ugolino;ulan:500016602;Bulgarini, Bartolommeo;Italian (culture or style);Sienese painter, active by 1337, died 1378;1300.0;1378.0;11.33;43.318000000000005;11.33;43.318000000000005;Siena;Siena;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
COTMAN John Sell;ulan:500014103;Cotman, John Sell;British (modern);English painter and etcher, 1782-1842;1782.0;1842.0;1.3;52.63333299999999;-0.093145;51.514248;Norwich;City of London;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
MORANDINI Francesco;ulan:500011518;Morandini, Francesco;Italian (culture or style);Italian painter, 1544-1597;1544.0;1597.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
FRANCESCO RIZZO da SANTACROCE;ulan:500010275;Francesco Rizzi da Santacroce;Italian (culture or style);Italian painter, active late 15th-early 16th centuries;1470.0;1550.0;;;;;;;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
BROUWER Adrien;ulan:500012394;Brouwer, Adriaen;Belgian (modern);Flemish painter, 1605/1606-1638;1605.0;1638.0;3.608914;50.851684000000006;4.401514;51.213886;Oudenaarde;Antwerp;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
HOOGSTRAETEN (van) Samuel;ulan:500001812;Hoogstraten, Samuel van;Dutch (culture or style);Dutch painter, printmaker, and poet, 1627-1678;1627.0;1678.0;;;;;;;3.0;3.0;0.0;17.0;3.0;3.0;0.0;0.17647058823529413;0.17647058823529413;0.0
UMBACH Jonas;ulan:500022818;Umbach, Jonas;German (culture, style, period);German painter, etcher, and draftsman, 1624-1693;1624.0;1693.0;10.883333;48.366667;10.883333;48.366667;Augsburg;Augsburg;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
MATTEO DA GUALDO;ulan:500025615;Matteo da Gualdo;Italian (culture or style);Italian painter and notary, ca. 1435-after 1507;1425.0;1525.0;12.783333;43.233333;12.783333;43.233333;Gualdo Tadino;Gualdo Tadino;2.0;2.0;0.0;17.0;2.0;2.0;0.0;0.11764705882352941;0.11764705882352941;0.0
GANDOLFI Mauro;ulan:500008969;Gandolfi, Mauro;Italian (culture or style);Italian painter and printmaker, 1764-1834;1764.0;1834.0;11.351;44.507;11.351;44.507;Bologna;Bologna;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
BABOCCIO Antonio;ulan:500186553;Baboccio, Antonio;Italian (culture or style);Italian painter and sculptor, 1351-ca. 1435;1351.0;1440.0;;;;;;;2.0;2.0;0.0;17.0;2.0;2.0;0.0;0.11764705882352941;0.11764705882352941;0.0
LARGILLIERE (de) Nicolas;ulan:500011561;Largillière, Nicolas de;French (culture or style);French painter and draftsman, 1656-1746;1656.0;1746.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
COSWAY Richard;ulan:500115280;Cosway, Richard;British (modern);English painter, dealer, and collector, 1742-1821;1742.0;1821.0;-3.75;50.75;-0.093145;51.514248;Mid Devon;City of London;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
LOMBARDI Alfonso;ulan:500027968;Lombardi, Alfonso;Italian (culture or style);Italian sculptor and medalist, ca. 1497-1537;1487.0;1537.0;11.583333;44.833333;11.351;44.507;Ferrara;Bologna;1.0;1.0;0.0;17.0;7.0;7.0;0.0;0.4117647058823529;0.4117647058823529;0.0
SCHELLINKS Willem;ulan:500028426;Schellinks, Willem;Dutch (culture or style);Dutch painter, etcher, 1627-1678;1625.0;1680.0;4.916667;52.35;4.916667;52.35;Amsterdam;Amsterdam;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
MANDER (VAN) Carel;ulan:500010579;Mander, Karel van;Dutch (culture or style);Dutch artist and art historian, 1548-1606;1548.0;1606.0;3.288044;50.951356;4.916667;52.35;Tielt;Amsterdam;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
TOMA Gioacchino;ulan:500012892;Toma, Gioacchino;Italian (culture or style);Italian painter, 1836-1891;1836.0;1891.0;18.166667;40.166667;14.25;40.833333;Galatina;Naples;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
MATTEINI Teodoro;ulan:500000112;Matteini, Teodoro;Italian (culture or style);Italian painter, 1754-1831;1754.0;1831.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
NUVOLONE Carlo Francesco;ulan:500006349;Nuvolone, Carlo Francesco;Italian (culture or style);Italian painter, 1609-1662;1609.0;1662.0;9.2;45.466667;9.2;45.466667;Milan;Milan;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
LIGOZZI Paolo;ulan:500057121;Ligozzi, Paolo;Italian (culture or style);Italian painter, born after 1580, died 1630;1580.0;1630.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
TACCA Ferdinando;ulan:500006323;Tacca, Ferdinando;Italian (culture or style);Italian sculptor and scenographer, born 1619, died 1686 or 1690;1619.0;1690.0;11.25;43.766667;11.25;43.766667;Florence;Florence;1.0;1.0;0.0;17.0;4.0;4.0;0.0;0.23529411764705882;0.23529411764705882;0.0
RUYSDAEL (VAN) Salomon;ulan:500010095;Ruysdael, Salomon van;Dutch (culture or style);Dutch painter, born ca. 1602, died 1670;1592.0;1670.0;;;;;;;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
SANGALLO (detto Aristotele;ulan:500031757;Sangallo, Bastiano da;Italian (culture or style);Italian painter, architect, and scenographer, 1481-1551;1481.0;1551.0;11.25;43.766667;11.25;43.766667;Florence;Florence;1.0;1.0;0.0;17.0;5.0;5.0;0.0;0.29411764705882354;0.29411764705882354;0.0
DEL CAIRO Francesco;ulan:500000397;Cairo, Francesco;Italian (culture or style);Italian painter, 1607-1665;1607.0;1665.0;9.2;45.466667;9.2;45.466667;Milan;Milan;2.0;1.0;1.0;18.0;3.0;2.0;1.0;0.16666666666666666;0.1111111111111111;0.05555555555555555
ROSSI Pasqualino;ulan:500006026;Rossi, Pasquale de';Italian (culture or style);Italian painter, 1641-1725;1641.0;1725.0;;;;;;;1.0;1.0;0.0;17.0;1.0;1.0;0.0;0.058823529411764705;0.058823529411764705;0.0
SOLOTAREFF Boris;ulan:500055686;Solotareff, Boris;Russian (culture or style);Russian painter, 1889-1966;1889.0;1966.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
MOUCHERON Isaak de;ulan:500009315;Moucheron, Isaac de;Dutch (culture or style);Dutch painter and printmaker, 1667-1744;1667.0;1744.0;;;;;;;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0
MANGLARD Adrien;ulan:500025962;Manglard, Adrien;French (culture or style);French painter and engraver, 1695-1760, active in Italy;1695.0;1760.0;4.846711;45.748457;12.483333;41.9;Lyon;Rome;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
LICINIO Giulio;ulan:500031502;Licinio, Giulio;Italian (culture or style);Italian painter, 1527-ca.1593;1527.0;1603.0;;;;;;;2.0;2.0;0.0;16.0;6.0;6.0;0.0;0.375;0.375;0.0
FOGGINI Giovanni Battista;ulan:500020988;Foggini, Giovanni Battista;Italian (culture or style);Italian sculptor and architect, 1652-1725;1652.0;1725.0;11.25;43.766667;11.25;43.766667;Florence;Florence;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
ROSA Ercole;ulan:500105617;Rosa, Ercole;Italian (culture or style);Italian sculptor, 1846-1893;1846.0;1893.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
METSYS Quentin;ulan:500025017;Metsys, Quinten;Netherlandish;South Netherlandish painter, 1466-1530;1466.0;1530.0;4.7;50.883333;4.8333330000000005;51.166667;Leuven;Herentals;4.0;2.0;2.0;21.0;8.0;3.0;5.0;0.38095238095238093;0.14285714285714285;0.23809523809523808
BURGKMAIR Hans;ulan:500022364;Burgkmair, Hans (the Elder);German (culture, style, period);German painter, printmaker, and draftsman,1473-1531;1473.0;1531.0;10.883333;48.366667;;;Augsburg;;2.0;1.0;1.0;17.0;7.0;6.0;1.0;0.4117647058823529;0.35294117647058826;0.058823529411764705
FLAMEN Albert;ulan:500003381;Flamen, Albert;Flemish (culture or style);Flemish painter and printmaker, born ca. 1620;1620.0;1720.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
MARINALI Angelo;ulan:500052371;Marinali, Angelo;Italian (culture or style);Italian sculptor, 1654-1704;1654.0;1704.0;;;;;;;2.0;2.0;0.0;16.0;2.0;2.0;0.0;0.125;0.125;0.0
STEFANO VENEZIANO;ulan:500124338;Stefano Veneziano;Italian (culture or style);Italian painter and clergyman, active 1369-1388;1329.0;1429.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
JACOPINO di FRANCESCO;ulan:500013822;Jacopino di Francesco de' Bavosi;Italian (culture or style);Italian painter, active 1360-1383;1320.0;1420.0;;;;;;;2.0;2.0;0.0;16.0;6.0;6.0;0.0;0.375;0.375;0.0
BOUDIN Eugène;ulan:500004513;Boudin, Eugene;French (culture or style);French painter, 1824-1898;1824.0;1898.0;0.231748;49.419838;2.333333;48.866667;Honfleur;Paris;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
FRANCESCO DI GENTILE DA FABRIANO;ulan:500005314;Francesco di Gentile da Fabriano;Italian (culture or style);Italian painter, active last half of the 15th century;1371.0;1530.0;;;;;;;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
CONTINO Antonio;ulan:500033615;Contino, Antonio;Italian (culture or style);Italian architect and stonemason, 1566-1600;1566.0;1600.0;;;12.326667;45.438611;;Venice;1.0;1.0;0.0;16.0;2.0;2.0;0.0;0.125;0.125;0.0
FERRUCCI Francesco di Simone;ulan:500116276;Ferrucci, Francesco di Simone;Italian (culture or style);Italian sculptor and painter, 1437-1493;1437.0;1493.0;11.283333;43.8;11.25;43.766667;Florence;Florence;3.0;2.0;1.0;17.0;8.0;7.0;1.0;0.47058823529411764;0.4117647058823529;0.058823529411764705
MAURO Fra;ulan:500336389;Mauro, Fra;Italian (culture or style);Italian cartographer, active 1457;1417.0;1517.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
VIGNALI Jacopo;ulan:500031764;Vignali, Jacopo;Italian (culture or style);Italian painter, 1592-1664;1592.0;1664.0;11.716667;43.783333;11.25;43.766667;Arezzo;Florence;1.0;0.0;1.0;18.0;2.0;0.0;2.0;0.1111111111111111;0.0;0.1111111111111111
MICHETTI Francesco Paolo;ulan:500027505;Michetti, Francesco Paolo;Italian (culture or style);Italian painter and photographer, 1851-1929;1851.0;1929.0;13.9;42.216667;14.283333;42.416667;Pescara;Francavilla al Mare;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
OVERBECK Fr;ulan:500019620;Overbeck, Johann Friedrich;German (culture, style, period);German painter, 1789-1869;1789.0;1869.0;10.7;53.86666700000001;12.483333;41.9;Lübeck;Rome;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
LINDTMAYER Daniel;ulan:500009984;Lindtmayer, Daniel, II;Swiss;Swiss glass painter, draftsman, and engraver, born 1552, died 1602-1607;1552.0;1607.0;8.634929;47.697316;8.266667;47.083333;Schaffhausen;Emmen;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
CODDE Pieter;ulan:500016283;Codde, Pieter Jacobs;Dutch (culture or style);Dutch painter and poet, 1599-1678;1599.0;1678.0;4.916667;52.35;4.916667;52.35;Amsterdam;Amsterdam;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
BRAY (DE) Jan;ulan:500032401;Bray, Jan de;Dutch (culture or style);Dutch painter, ca. 1627-1697;1620.0;1697.0;4.65;52.366667;4.65;52.366667;Haarlem;Haarlem;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
PIAZZETTA Giacomo;ulan:500015146;Piazzetta, Giacomo;Italian (culture or style);Italian sculptor, ca. 1640-1705;1630.0;1705.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
RUGENDAS Georg Philip;ulan:500004203;Rugendas, Georg Philipp, I;German (culture, style, period);German painter, 1666-1742;1666.0;1742.0;10.883333;48.366667;10.883333;48.366667;Augsburg;Augsburg;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
ANDREA DELL AQUILA;ulan:500013726;Andrea dell'Aquila;Italian (culture or style);Italian painter and sculptor, active 1446-1458;1406.0;1506.0;;;;;;;2.0;2.0;0.0;16.0;3.0;3.0;0.0;0.1875;0.1875;0.0
FONTANA Giovanni Battista;ulan:500010237;Fontana, Giovanni Battista;Italian (culture or style);Italian painter, draftsman, and printmaker, 1524-1587;1524.0;1587.0;11.0;45.75;11.4;47.2667;Provincia di Trento;Innsbruck;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
PAOLETTI Pietro;ulan:500029233;Paoletti, Pietro;Italian (culture or style);Italian painter, 1801-1847;1801.0;1847.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
GENNARI Cesare;ulan:500002017;Gennari, Cesare;Italian (culture or style);Italian painter, 1637-1688;1637.0;1688.0;11.283333;44.716667;11.351;44.507;Cento;Bologna;1.0;0.0;1.0;18.0;2.0;0.0;2.0;0.1111111111111111;0.0;0.1111111111111111
ROTTMANN Carl;ulan:500000776;Rottmann, Carl;German (culture, style, period);German painter, 1797-1850;1797.0;1850.0;;;11.583333;48.15;;Munich;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
PONZIO Flaminio;ulan:500011302;Ponzio, Flaminio;Italian (culture or style);Italian architect, ca. 1560-1613;1550.0;1613.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
COPPO DI MARCOVALDO;ulan:500115281;Coppo di Marcovaldo;Italian (culture or style);Italian painter, ca. 1220-after 1276;1210.0;1286.0;11.25;43.766667;;;Florence;;3.0;1.0;2.0;18.0;9.0;7.0;2.0;0.5;0.3888888888888889;0.1111111111111111
LIOTARD Jean Etienne;ulan:500003329;Liotard, Jean Etienne;Swiss;Swiss painter, 1702-1789;1692.0;1789.0;6.148113;46.195602;;;Geneva;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
VERNET Horace;ulan:500024243;Vernet, Horace;French (culture or style);French painter, 1789-1863;1789.0;1863.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
UBERTI Pietro;ulan:500010731;Uberti, Pietro;Italian (culture or style);Italian painter, 1671-after 1762;1671.0;1771.0;12.326667;45.438611;;;Venice;;4.0;4.0;0.0;16.0;5.0;5.0;0.0;0.3125;0.3125;0.0
VERKOLJE Nicolas;ulan:500004346;Verkolje, Nicolaas;Dutch (culture or style);Dutch painter and mezzotinter, 1673-1746;1673.0;1746.0;4.366667;52.0;4.916667;52.35;Delft;Amsterdam;1.0;1.0;0.0;16.0;5.0;5.0;0.0;0.3125;0.3125;0.0
VERLA Francesco;ulan:500018902;Verla, Francesco;Italian (culture or style);Italian painter, active 1490-1520;1460.0;1550.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
BIANCHI FERRARI Francesco;ulan:500017041;Bianchi Ferrari, Francesco de';Italian (culture or style);Italian painter, ca. 1460-1510;1450.0;1510.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
BENTI Donato;ulan:500044544;Benti, Donato;Italian (culture or style);Italian sculptor, 1470-ca. 1537;1470.0;1547.0;11.25;43.766667;;;Florence;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
MATTEO di SER CAMBIO;ulan:500030517;Matteo di Ser Cambio;Italian (culture or style);Italian painter, scribe, and illuminator, active 14th century;1271.0;1430.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
GIROLAMO DA UDINE;ulan:500027955;Girolamo da Udine;Italian (culture or style);Italian painter, active 1506-1512;1476.0;1526.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
ZENI Domenico;ulan:500069965;Zeni, Domenico;Italian (culture or style);Italian painter, 1762-1819;1762.0;1819.0;10.716667;45.55;;;Verona;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
STRIGEL Bernhard;ulan:500028571;Strigel, Bernhard;German (culture, style, period);German painter, 1460-1528;1460.0;1528.0;10.166667;47.983333;10.166667;47.983333;Memmingen;Memmingen;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
BOUCHARDON Edme;ulan:500024658;Bouchardon, Edme;French (culture or style);French sculptor, 1698-1762, active in Rome and France;1698.0;1762.0;5.141413;48.12282;2.333333;48.866667;Chaumont;Paris;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
GATTI Arturo;ulan:500054343;Gatti, Arturo;Italian (culture or style);Italian painter, born 1878;1878.0;1978.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
SCOREL (VAN) Jan;ulan:500029872;Scorel, Jan van;Netherlandish;North Netherlandish painter and draftsman, 1495-1562;1495.0;1562.0;4.7;52.7;5.133333;52.083333;Bergen (NH);Utrecht;1.0;1.0;0.0;16.0;2.0;2.0;0.0;0.125;0.125;0.0
HACKERT Jacob Philipp;ulan:500009300;Hackert, Jacob Philipp;German (culture, style, period);German painter, 1737-1807, active in Italy;1737.0;1807.0;13.866667;53.316667;;;Prenzlau;;1.0;1.0;0.0;16.0;1.0;1.0;0.0;0.0625;0.0625;0.0
FOSSATI Domenico;ulan:500001005;Fossati, Domenico;Italian (culture or style);Italian painter and architect, 1743-1784;1743.0;1784.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
VERHAEGHT Tobias;ulan:500003815;Verhaecht, Tobias;Flemish (culture or style);Flemish painter, ca. 1560-1631;1550.0;1631.0;;;;;;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
ESSELENS Jacob;ulan:500031992;Esselens, Jacob;Dutch (culture or style);Dutch painter, 1626-1687;1626.0;1687.0;4.916667;52.35;4.916667;52.35;Amsterdam;Amsterdam;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
MACCHIETTI Girolamo;ulan:500007200;Macchietti, Girolamo;Italian (culture or style);Italian painter, 1535-1592;1535.0;1592.0;;;;;;;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
PRUD'HON Pierre;ulan:500003716;Prud'hon, Pierre-Paul;French (culture or style);French painter and draftsman, 1758-1823;1758.0;1823.0;4.658453;46.433182;2.333333;48.866667;Cluny;Paris;1.0;1.0;0.0;15.0;1.0;1.0;0.0;0.06666666666666667;0.06666666666666667;0.0
PARROCEL Joseph;ulan:500006978;Parrocel, Joseph;French (culture or style);French painter, 1646-1704;1646.0;1704.0;6.062253;43.405419;2.333333;48.866667;Brignoles;Paris;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
ALBEREGNO Jacobello;ulan:500024125;Alberegno, Jacobello;Italian (culture or style);Italian painter, died 1397;1297.0;1397.0;;;;;;;1.0;1.0;0.0;15.0;6.0;6.0;0.0;0.4;0.4;0.0
CIVETTA (il);ulan:500120673;Bles, Herri met de;Flemish (culture or style);Flemish painter, born ca. 1510, died after 1550;1480.0;1570.0;;;;;;;1.0;0.0;1.0;18.0;3.0;0.0;3.0;0.16666666666666666;0.0;0.16666666666666666
CISERI Antonio;ulan:500030859;Ciseri, Antonio;Italian (culture or style);Italian painter, 1821-1891;1821.0;1891.0;8.983333;44.616667;11.25;43.766667;Genoa;Florence;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
DEL COLLE Raffaellino;ulan:500021279;Colle, Raffaello dal;Italian (culture or style);Italian painter, ca.1490-1566;1480.0;1566.0;;;;;;;2.0;1.0;1.0;16.0;2.0;1.0;1.0;0.125;0.0625;0.0625
FRANCESCO di SIMONE da SANTACROCE;ulan:500015629;Santacroce, Francesco di Simone da;Italian (culture or style);Italian painter, ca. 1440-1508;1430.0;1508.0;;;12.326667;45.438611;;Venice;2.0;2.0;0.0;15.0;9.0;9.0;0.0;0.6;0.6;0.0
CERESA Carlo;ulan:500030717;Ceresa, Carlo;Italian (culture or style);Italian painter, 1609-1670;1609.0;1670.0;9.65;45.866667;9.716667;45.683333000000005;Comunità Montana della Valle Brembana;Seriate;1.0;1.0;0.0;15.0;1.0;1.0;0.0;0.06666666666666667;0.06666666666666667;0.0
COSTOLI Aristodemo;ulan:500020636;Costoli, Aristodemo;Italian (culture or style);Italian sculptor, 1803-1871;1803.0;1871.0;;;;;;;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
SARGENT John Singer;ulan:500023972;Sargent, John Singer;American (North American);American painter, 1856-1925;1856.0;1925.0;11.25;43.766667;-0.093145;51.514248;Florence;City of London;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
